Group;Total;Novelle (CATMA_107A613D-6FDF-4D8C-BEA0-45F635906515);NinaNovelle (CATMA_02144EEC-DFFA-43E6-AF96-08B9475BA9B3);Novelle - BA (CATMA_22CEEB64-FAE9-40C9-9420-15C288BACCDD);Negationen (CATMA_39DABD06-FA36-4ED8-A1EE-5134D0865DDE);Novelle - RA (CATMA_7F7E0907-3976-4594-8EC2-CB6AFA9BE0C4);JuliaNovelle (CATMA_CF61A733-367C-4244-8DA7-76FC3C3747A8);Die guten Weiber (CATMA_11CC92FD-3140-4269-89F7-E0CB18AE07B1);AH (CATMA_0B982D42-BDC5-48EB-B8A3-D570C253AE2E);RT (CATMA_312E0F48-83FC-4251-9E2A-841DBFBA23EF);Die guten Weiber RT (CATMA_DADBF4E3-1B15-4855-9350-D18D9AD57B19);Die-guten-Weiber (CATMA_FB2940CE-AEE1-416F-BDDA-757F87360851);Wahlverwandtschaften (CATMA_18BAFC3D-2234-4027-B640-B9D351F4B39F);Wahlverwandschaften AH (CATMA_88E1C752-2B4A-4203-AC78-5A873485C0D0);Wahlverwandschaften RA (CATMA_90F95DC3-326D-43AD-B5FA-ECF8F39B82EB);Negationen (CATMA_A6281CF8-524B-4D4D-8BD9-0FAA5F4CBB8D);Wahlverwandtschaften RT (CATMA_AA0DF310-AA5E-4E67-9CF6-BEE5FB8F3987);Intrinsic Markup (C_D84FA54F-4369-4519-B9DD-3BA7C1419CB5);Unterhaltungen deutscher Ausgewanderten (CATMA_247FA951-9E45-41D2-AA91-E78A05400BCC);Unterhaltungen-BA (CATMA_22E44727-3A19-4B47-BCF9-9DAFACBDA88F);Negationen (CATMA_451455DA-4E57-4DBA-ACA7-DD07C2D8F9BD);NL (CATMA_D311DA8F-F52E-47BA-AC32-20B0A6433240);Hermann und Dorothea (CATMA_2F966BE4-CC2C-4322-AEAD-FDD1E753D02C);RT (CATMA_33280756-8D32-4677-AAAD-5E4B0A0B559A);AH  (CATMA_3610025C-7068-4088-B2E3-3DF29CBCE2C6);Nina (CATMA_3FBB20FB-44E6-4709-8FD6-1C54C332FF6D);Negationen (CATMA_8BE83E71-8800-48E4-9E5D-0E1603F01120);JH (CATMA_90F67794-BD72-4356-9404-51674DF3A7DB);AH 2 (CATMA_989A4105-572C-4321-8F87-C9EF33C94E6D);Wilhelm Meisters Wanderjahre (CATMA_C827B919-4F5A-46D9-B9AE-78DC38A9619B);Wanderjahre-BA (CATMA_02BEF971-1549-4655-A4EF-C1FC4EA72DE6);Rabea_Wanderjahre (CATMA_0CFC4EF0-8DD5-43A7-95C5-EEAFA2C2342F);Wanderjahre-AH (CATMA_2CFCA777-4D18-42AE-9144-4311324EBAD4);Wanderjahre-JCM (CATMA_44908A6C-48B4-4373-B176-D10DAEA5500C);Wanderjahre-CA (CATMA_653C6DEB-407F-43C8-BC76-D969FC66641A);WanderjahreNB (CATMA_8EBE384C-3BD2-4CBB-8D78-A9C57A3199D9);Wanderjahre LE (CATMA_A880482C-553C-47AE-970D-CD9BBDC9621C);Wanderjahre NL (CATMA_CA02062B-F6B3-40A6-8D86-E6C5D1A963AF);Wanderjahre-JH (CATMA_E203D09A-CF82-4DF4-91E5-50F3D792B02E);Wanderjahre RT (CATMA_FFE8229F-219B-441D-915D-9DE94600CEF5);Reise der Söhne Megaprazon. Fragmente (CATMA_D0B27074-C416-4B2D-B68B-3C8354ACA8C4);RT (CATMA_AD8D9875-F99A-4030-9AA2-D8EF24350303);AH (CATMA_E8050D90-D89D-4127-B563-3CD2B0F19197)
"e ich vertrieben. Denn mit Jenen will ich nicht unter Einem Dache bleiben; und nehmt Euch in Acht: sie bringen nichts als Unheil! Ihr Wesen ist wie ein Sauerteig, der seine Ansteckung fortpflanzt.
Man suchte ihn zu begütigen; aber vergebens. Wer mir den Ehestand angreift, rief er aus, wer mir durch Wort, ja durch Tat, diesen Grund aller sittlichen Gesellschaft untergräbt, der hat es mit mir zu tun; oder wenn ich ihn nicht Herr werden kann, habe ich nichts mit ihm zu tun. Die Ehe ist der Anfang und der Gipfel aller Kultur. Sie macht den Rohen mild, und der  
Gebildetste hat keine bessere Gelegenheit seine Milde zu beweisen. Unauflöslich muß sie sein: denn sie bringt so vieles Glück, daß alles einzelne Unglück dagegen gar nicht zu rechnen ist. Und was will man von Unglück reden? Ungeduld ist es, die den Menschen von Zeit zu Zeit anfällt, und dann beliebt er sich unglücklich zu finden. Lasse man den Augenblick vorübergehen, und man wird sich glücklich preisen, daß ein so lange Bestandenes noch besteht. Sich zu trennen gibtes gar keinen hinlänglichen Grund. Der menschliche Zustand ist so hoch in Leiden und Freuden gesetzt, daß gar nicht berechnet werden kann, was ein Paar Gatten einander schuldig werden. Es ist eine unendliche Schuld, die nur durch die Ewigkeit abgetragen werden kann. Unbequem mag es manchmal sein, das gla";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e ich weit eher und inniger im Grabhügel als im Denkmal: denn dieses ist für sich eigentlich nur wenig; aber um dasselbe her sollen sich, wie um einen Markstein, Gatten, Verwandte, Freunde, selbst nach ihrem Hinscheiden noch versammeln, und der Lebende soll das Recht behalten, Fremde und Misswollende auch von der Seite seiner geliebten Ruhenden abzuweisen und zu entfernen.
Ich hal";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e macht ihm Hoffnung, verspricht ihm in die Scheidung zu willigen. Er traut nicht; er ist so krank, daß ihn Hoffnung und Glaube abwechselnd verlassen; er dringt in Charlotte, sie soll dem Major ihre Hand zusagen; eine Art von wahnsinnigem Unmut hat ihn ergriffen. Charlotte, ihn zu besänftigen, ihn zu erhalten, tut was er fordert. Sie sagt dem Major ihre Hand zu, auf den Fall, daß Ottilie sich mit Eduard verbinden wolle, jedoch unter ausdrücklicher Bedingung, daß die beiden Männer für den Augenblick zusammen eine Reise machen. Der Major hat für seinen Hof ei";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e nicht weniger im Allgemeinen davon unterrichtet war, über jene Äußerungen hinausging.
Wir wollen alle diese vorsorglichen Anstalten loben, sagte eines Abends der Hauptmann; nun geht uns aber das Notwendigste noch ab, ein tüchtiger Mann, der das alles zu handhaben weiß. Ich kann hierzu einen mir bekannten Feldchirurg vorschlagen, der jetzt um leidliche Bedingung zu haben ist, ein vorzüglicher Mann in seinem Fache, und der mir auch in Behandlung heftiger innerer Übel öfters mehr Genüge getan hat als ein berühmter Arzt; u";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
e nur das Wohl ihres;5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
"e nur das Wohl ihres ";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e nur das Wohl ihres Freundes, sie glaubte sich fähig ihm zu entsagen, sogar ihn niemals wieder zu sehen, wenn sie ihn nur glücklich wisse. Aber ganz entschieden war sie für sich, niemals einem anderen anzugehören.
Daß der Herbst eben so herrlich würde wie der Frühling, dafür war gesorgt. Alle sogenannte Sommergewächse, alles was im Herbst mit Blühen nicht enden kann und sich der Kälte noch keck entgegen entwickelt, Aster besonders, waren in der größten Mannigfaltigkeit gesät und sollten nun überallhin verpflanzt, einen Sternhimmel über die Erde bilden.
  Aus


Ottilies Tagebuche.

 ""Einen guten Gedanken den wir gelesen, etwas Auffallendes das wir gehört, tragen wir wohl in unser Tagebuch. Nähmen wir uns aber zugleich die Mühe, aus den Briefen unserer Freunde eigentümliche Bemerkungen, originelle Ansichten, flüchtige geistreiche Worte auszuzeichnen, so würden wir sehr reich werden. Briefe hebt man auf, um sie nie wieder zu lesen; man zerstört sie zuletzt einmal aus Diskretion, und so verschwindet der schönste unmittelbarste Lebenshauch unwiederbringlich für uns und andere. Ich nehme mir vor, dieses Versäumnis wieder gut zu machen.""
 ""So wiederholt sich denn abermals das Jahresmärchen von vorn. Wir sind nun wieder, Gott sei Dank! an seinem artigsten Kapitel. Veilchen und Maiblumen sind wie Überschriften oder Vignetten dazu. Es macht uns immer einen angenehmen Eindruck, wenn wir sie in dem Buche des Lebens wieder aufschlagen.""
""Wir schelten die Armen, besonders die Unmündigen, wenn sie sich an den Straßen herumlegen und betteln. Bemerken wir nicht, daß sie gleich tätig sind, sobald es was zu tun gibt? Kaum entfaltet die Natur ihre freundlichen Schätze, so sind die Kinder da_hinterher um ein Gewerbe zu eröffnen; keines bettelt mehr; jedes reicht dir einen Strauß; es hat ihn gepflückt ehe du vom Schlaf erwachtest, und das Bittende sieht dich so freundlich an wie die Gabe. Niemand sieht erbärmlich aus, der sich einiges Recht fühlt, fordern zu dürfen.""
 ""Warum nur das Jahr manchmal so kurz, manchmal so lang ist, warum es so kurz scheint und so lang in der Erinnerung! Mir ist es mit dem vergangenen so, und nirgends auffallender als im Garten, wie vergängliches und dauerndes in einander greift. Und doch ist nichts so flüchtig das nicht eine Spur, das nicht seines Gleichen zurücklasse.""
""Man läßt sich den Winter auch gefallen. Man glaubt sich freier auszubreiten, wenn die Bäume so geisterhaft, so durchsichtig vor uns stehen. Sie sind nichts, aber sie decken auch nichts zu. Wie aber einmal Knospen und Blüten kommen, dann wird man ungeduldig bis das volle Laub hervortritt, bis die Landschaft sich verkörpert und der Baum sich als eine Gestalt uns entgegen drängt.""
""Alles Vollkommene in seiner Art muß über seine A";5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
"e nur in den meisten Dingen. Es mag sein,  
aber ich hatte das noch nicht gefunden worin ich mich als Meister zeigen kann. Ich will den sehen, der mich im Talent des Liebens übertrifft.
Zwar es ist ein jammervolles, ein schmerzen- ein Tränenreiches; aber ich finde es mir so natürlich, so eigen, daß ich es wohl schwerlich je wieder aufgebe.
Dur";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e sich im Garten, in der Gegend umsähen. Wir kommen wieder zusammen. Ich suche gefaßter und Ihnen ähnlicher zu werden.
 Mittler mochte lieber einlenken als die Unterhaltung abbrechen, die er so leicht nicht wieder anknüpfen konnte. Auch Eduard war es ganz gemäß, das Gespräch weiter fortzusetzen, das ohnehin zu seinem Ziele abzulaufen strebte.
Freilich, sagte Eduard, hilft das Hin- und Wiederdenken, das Hin- und Widerreden zu nichts; doch unter diesem Reden bin ich mich selbst erst gewahr worden, habe ich erst entschieden gefühlt, wozu ich mich entschließen sollte, wozu ich entschlossen bin. Ich sehe mein gegenwärtiges, mein zukünftiges Leben ";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
e sie ihn schmerzlich;5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
"e sie ihn schmerzlich ";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e sie ihn schmerzlich an die glücklichste Stunde seines Lebens. Seine Leiden vermehrten sich; das Gefühl  
dessen was er zurückließ war ihm unerträglich; nochmals blickte er nach dem Bettler: O du Beneidenswerter! rief er aus: du kannst noch am gestrigen Almosen zehren, und ich nicht mehr am gestrigen Glücke!
 

 Siebzehntes Kapitel.

 Ottilie trat ans Fenster als sie Jemanden wegreiten hörte und sah Eduard noch im Rücken. Es kam ihr wunderbar vor, daß er das Haus verließ, ohne sie gesehen, ohne ihr einen Morgengruß geboten zu haben. Sie wurde unruhig und immer nachdenklicher, als Charlotte sie auf einen weiten Spaziergang mit sich zog und von mancherlei Gegenständen sprach, aber des Gemahls, und wie es schien, vorsätzlich, nicht erwähnte. Doppelt betroffen war sie daher, bei ihrer Zurückkunft den Tisch nur mit zwei Gedecken besetzt zu finden.
 Wir vermissen ungern geringscheinende Gewohnheiten, aber schmerzlich empfinden wir erst ein solches Entbehren in bedeutenden Fällen. Eduard und der Hauptmann fehlten, Charlotte hatte seit langer Zeit zum erstenmal den Tisch selbst angeordnet, und es wollte Ottilie scheinen als wenn sie abgesetzt wäre. Die beiden Frauen saßen gegen einander über; Charlotte sprach ganz unbefangen von der Anstellung des Hauptmanns und von der wenigen Hoffnung ihn bald wieder zu sehen. Das einzige tröstete Ottilie in ihrer Lage, daß sie glauben konnte, Eduard sei, um den Freund noch eine Strecke zu begleiten, ihm nachgeritten.
Allein, da sie von Tische aufstanden, sahen sie Eduards Reisewagen unter dem Fenster, und als Charlotte einigermaßen unwillig fragte: wer ihn hierher bestellt habe; so antwortete man ihr, es sei der Kammerdiener, der hier noch einiges aufpacken wolle. Ottilie brauchte  
ihre ganze Fassung, um ihre Verwunderung und ihren Schmerz zu verbergen.
Der Kammerdiener trat herein und verlangte noch einiges. Es war eine Mundtasse des Herrn, ein paar silberne Löffel und mancherlei was Ottilie auf eine weitere Reise, auf ein längeres Außenbleiben zu deuten schien. Charlotte verwies ihm sein Begehren ganz trocken: sie verstehe nicht was er damit sagen wolle; denn er habe ja alles was sich auf den Herrn beziehe, selbst im Beschluß. Der gewandte Mann, dem es freilich nur darum zu tun war, Ottilie zu sprechen, und sie deswegen unter irgend einem Vorwande aus dem Zimmer zu locken, wußte sich zu entschuldigen und auf seinem Verlangen zu beharren, das ihm Ottilie auch zu gewähren wünschte; allein Charlotte lehnte es ab, der Kammerdiener mußte sich entfernen, und der Wagen rollte fort.
 Es war für Ottilie ein schrecklicher Augenblick. Sie verstand es nicht, sie begriff es nicht; aber daß ihr Eduard auf geraume Zeit entrissen war, konnte sie fühlen. Charlotte fühlte den Zustand mit und ließ sie allein. Wir wagen nicht ihren Schmerz, ihre Tränen zu schildern, sie litt unendlich. Sie bat nur Gott, daß er ihr nur über diesen Tag weghelfen möchte; sie überstand den Tag und die Nacht, und als sie sich wiedergefunden, glaubte sie ein anderes Wesen anzutreffen.
Sie hatte sich nicht gefaßt, sich nicht ergeben, aber sie war, nach so großem Verluste, noch da und hatte noch mehr zu befürchten. Ihre nächste Sorge, nachdem das Bewußtsein wiedergekehrt, war sogleich: sie möchte nun, nach Entfernung der Männer, gleichfalls entfernt werden. Sie ahndete nichts von Eduards Drohungen, wodurch ihr der Aufenthalt neben Charlotte gesichert war; doch  
diente ihr das Betragen Charlottes zu einiger Beruhigung. Diese suchte das gute Kind zu beschäftigen und ließ sie nur selten, nur ungern von sich; und ob sie gleich wohl wußte, daß man mit Worten nicht viel gegen eine entschiedene Leidenschaft zu wirken vermag, so kannte sie doch die Macht der Besonnenheit, des Bewußtseins, und brachte daher manches zwischen sich und Ottilie zur Sprache.
So war es für diese ein großer Trost, als jene gelegentlich, mit Bedacht und Vorsatz, die weise Betrachtung anstellte: Wie lebhaft ist, sagte sie, die Dankbarkeit derjenigen denen wir mit Ruhe über leidenschaftliche Verlegenheiten hinaushelfen. Laß uns freudig und munter in das eingreifen, was die Männer unvollendet zurückgelassen haben; so bereiten wir uns die schönste Aussicht auf ihre Rückkehr, indem wir das was ihr stürmendes ungeduldiges Wesen zerstören möchte, durch unsere Mäßigung erhalten und fördern.
 Da Sie von Mäßigung sprechen, liebe Tante, versetzte Ottilie; so kann ich nicht bergen, daß mir dabei die Unmäßigkeit der Männer, besonders was den Wein betrifft, einfällt. Wie oft hat es mich betrübt und geängstigt, wenn ich bemerken mußte, daß reiner Verstand, Klugheit, Schonung anderer, Anmut und Liebenswürdigkeit, selbst für mehrere Stunden, verloren gingen, und oft statt alles des Guten was ein trefflicher Mann hervorzubringen und zu gewähren vermag, Unheil und Verwirrung hereinzubrechen drohte. Wie oft mögen dadurch gewaltsame Entschließungen veranlaßt werden.
Charlotte gab ihr Recht; doch setzte sie das Gespräch nicht fort: denn sie fühlte nur zu wohl, daß auch hier Ottilie bloß Eduard wieder im Sinne hatte, der zwar nicht gewöhnlich, aber doch öfter als es wünschenswert war, sein Vergnügen, seine Gesprächigkeit
 
, seine Tätigkeit durch einen gelegentlichen Weingenuß zu steigern pflegte.
Hatte bei jener Äußerung Charlottes sich Ottilie die Männer, besonders Eduard, wieder heran denken können; so war es ihr um desto auffallender, als Charlotte von einer bevorstehenden Heirat des Hauptmanns, wie von einer ganz bekannten und gewissen Sache sprach, wodurch denn alles ein anderes Ansehen gewann, als sie nach Eduards früheren Versicherungen sich vorstellen mochte. Durch alles dies vermehrte sich die Aufmerksamkeit Ottilies auf jede Äußerung, jeden Wink, jede Handlung, jeden Schritt Charlottes. Ottilie war klug, scharfsinnig, argwöhnisch geworden ohne es zu wissen.
Charlotte durchdrang indessen das Einzelne ihrer ganzen Umgebung mit scharfem Blick und wirkte darin mit ihrer klaren Gewandtheit, wobei sie Ottilie beständig Teil  
zu nehmen nötigte. Sie zog ihren Haushalt, ohne Bänglichkeit, ins Enge; ja, wenn sie alles genau betrachtete, so hielt sie den leidenschaftlichen Vorfall für eine Art von glücklicher Schickung. Denn auf dem bisherigen Wege wäre man leicht ins Grenzenlose geraten und hätte den schönen Zustand reichlicher Glücksgüter, ohne sich zeitig genug zu besinnen, durch ein vordringliches Leben und Treiben, wo nicht zerstört, doch erschüttert.
Was von Parkanlagen im Gange war, störte sie nicht. Sie ließ vielmehr dasjenige fortsetzen, was zum Grunde künftiger Ausbildung liegen mußte; aber dabei hatte es auch sein Bewenden. Ihr zurückkehrender Gemahl sollte noch genug erfreuliche Beschäftigung finden.
Bei diesen Arbeiten und Vorsätzen konnte sie nicht genug das Verfahren des Architekten loben. Der See lag in kurzer Zeit ausgebreitet
 
 vor ihren Augen, und die neu entstandenen Ufer zierlich und mannigfaltig bepflanzt und berast. An dem neuen Hause wurde alle rauhe Arbeit vollbracht, was zur Erhaltung nötig war, besorgt, und dann machte sie einen Abschluß da wo man mit Vergnügen wieder von vorn anfangen konnte. Dabei war sie ruhig und heiter; Ottilie schien es nur: denn in allem beobachtete sie nichts als Symptome, ob Eduard wohl bald erwartet werde, oder nicht. Nichts interessiert sie an allem als diese Betrachtung.
Willkommen war ihr daher eine Anstalt, zu der man die Bauerknaben versammelte und die darauf abzielte, den weitläufig gewordenen Park immer rein zu erhalten. Eduard hatte schon den Gedanken gehegt. Man ließ den Knaben eine Art von heiterer Montierung machen, die sie in den Abendstunden anzogen, nachdem sie sich durchaus gereinigt und gesäubert hatten. Die Garderobe war  
im Schloß; dem verständigsten, genauesten Knaben vertraute man die Aufsicht an; der Architekt leitete das Ganze, und ehe man sich's versah, so hatten die Knaben alle ein gewisses Geschick. Man fand an ihnen eine bequeme Dressur und sie verrichteten ihr Geschäft nicht ohne eine Art von Manöver. Gewiß, wenn sie mit ihren Scharreisen, gestielten Messerklingen, Rechen, kleinen Spaten und Hacken und wedelartigen Besen einherzogen; wenn andere mit Körben hinterdrein kamen, um Unkraut und Steine bei Seite zu schaffen; andere das hohe große eiserne Walzenrad hinter sich herzogen: so gab es einen hübschen erfreulichen Aufzug, in welchem der Architekt eine artige Folge von Stellungen und Tätigkeiten für den Fries eines Gartenhauses sich anmerkte; Ottilie hingegen sah darin nur eine Art von Parade welche den rückkehrenden Hausherrn bald begrüßen sollte.
 Dies gab ihr Mut und Lust ihn mit etwas Ähnlichem zu empfangen. Man hatte zeither die Mädchen des Dorfes im Nähen, Stricken, Spinnen und anderen weiblichen Arbeiten zu ermuntern gesucht. Auch diese Tugenden hatten zugenommen seit jenen Anstalten zu Reinlichkeit und Schönheit des Dorfes. Ottilie wirkte stets mit ein; aber mehr zufällig, nach Gelegenheit und Neigung. Nun gedachte sie es vollständiger und folgerechter zu machen. Aber aus einer Anzahl Mädchen läßt sich kein Chor bilden, wie aus einer Anzahl Knaben. Sie folgte ihrem guten Sinne, und ohne sich's ganz deutlich zu machen, suchte sie nichts als einem jeden Mädchen Anhänglichkeit an sein Haus, seine Eltern und seine Geschwister einzuflößen.
Das gelang ihr mit vielen. Nur über ein kleines, lebhaftes Mädchen wurde immer geklagt, daß sie ohne Geschick sei, und im Hause nun ein für allemal nichts tun wolle.  
Ottilie konnte dem Mädchen nicht Feind sein, denn ihr war es besonders freundlich. Zu ihr zog es sich, mit ihr ging und lief es, wenn sie es erlaubte. Da war es tätig, munter und unermüdet. Die Anhänglichkeit an eine schöne Herrin schien dem Kinde Bedürfnis zu sein. Anfänglich duldete Ottilie die Begleitung des Kindes; dann faßte sie selbst Neigung zu ihm; endlich trennten sie sich nicht mehr und Nanny begleitete ihre Herrin überall hin.
Diese nahm öfters den Weg nach dem Garten und freute sich über das schöne Gedeihen. Die Beeren- und Kirschenzeit ging zu Ende, deren Spätlinge jedoch Nanny sich besonders schmecken ließ. Bei dem übrigen Obste, das für den Herbst eine so reichliche Ernte versprach, gedachte der Gärtner beständig des Herrn und niemals ohne ihn herbeizuwünschen. Ottilie hörte dem guten alten Manne so gern zu. Er verstand sein Handwerk
 
 vollkommen und hörte nicht auf, ihr von Eduard vorzusprechen.
Als Ottilie sich freute, daß die Pfropfreiser dieses Frühjahrs alle so gar schön bekommen, erwiderte der Gärtner bedenklich: ich wünsche nur, daß der gute Herr viel Freude daran erleben möge. Wäre er diesen Herbst hier, so würde er sehen, was für köstliche Sorten noch von seinem Herrn Vater her im alten Schloßgarten stehen. Die jetzigen Herren Obstgärtner sind nicht so zuverlässig als sonst die Kartäuser waren. In den Katalogen findet man wohl lauter honette Namen. Man pfropft und erzieht und endlich wenn sie Früchte tragen, so ist es nicht der Mühe wert, daß solche Bäume im Garten stehen.
Am wiederholtesten aber fragte der treue Diener, fast so oft er Ottilie sah, nach der Rückkunft des Herrn, und nach dem Termin derselben. Und wenn Ottilie ihn nicht angeben konnte, so ließ ihr der gute Mann nicht  
ohne stille Betrübnis merken, daß er glaube sie vertraue ihm nicht, und peinlich war ihr das Gefühl der Unwissenheit, das ihr auf diese Weise recht aufgedrungen wurde. Doch konnte sie sich von diesen Rabatten und Beeten nicht trennen. Was sie zusammen zum Teil gesät, alles gepflanzt hatten, stand nun im völligen Flor; kaum bedurfte es noch einer Pflege, außer daß Nanny immer zum Gießen bereit war. Mit welchen Empfindungen betrachtete Ottilie die späteren Blumen, die sich erst anzeigten, deren Glanz und Fülle dereinst an Eduards Geburtstag, dessen Feier sie sich manchmal versprach, prangen, ihre Neigung und Dankbarkeit ausdrücken sollten. Doch war die Hoffnung dieses Fest zu sehen nicht immer gleich lebendig. Zweifel und Sorgen umflüsterten stets die Seele des guten Mädchens.
Zu einer eigentlichen offenen Übereinstimmung mit Charlotte konnte es auch wohl nicht wieder gebracht werden. Denn freilich  
war der Zustand beider Frauen sehr verschieden. Wenn alles beim Alten blieb, wenn man in das Gleis des gesetzmäßigen Lebens zurückkehrte, gewann Charlotte an gegenwärtigem Glück, und eine frohe Aussicht in die Zukunft öffnete sich ihr; Ottilie hingegen verlor alles, man kann wohl sagen, alles: denn sie hatte zuerst Leben und Freude in Eduard gefunden, und in dem gegenwärtigen Zustande fühlte sie eine unendliche Leere, wovon sie früher kaum etwas geahndet hatte. Denn ein Herz das sucht, fühlt wohl daß ihm etwas mangle, ein Herz das verloren hat, fühlt daß es entbehre. Sehnsucht verwandelt sich in Unmut und Ungeduld, und ein weibliches Gemüt, zum Erwarten und Abwarten gewöhnt, möchte nun aus seinem Kreise herausschreiten, tätig werden, unternehmen und auch etwas für sein Glück tun.
Ottilie hatte Eduard nicht entsagt. Wie konnte sie es auch, obgleich Charlotte klug genug, gegen ihre eigene Überzeugung, die  
Sache für bekannt annahm, und als entschieden voraussetzte, daß ein freundschaftliches ruhiges Verhältnis zwischen ihrem Gatten und Ottilie möglich sei. Wie oft aber lag diese Nachts, wenn sie sich eingeschlossen, auf den Knien vor dem eröffneten Koffer und betrachtete die Geburtstagsgeschenke, von denen sie noch nichts gebraucht, nichts zerschnitten, nichts gefertigt. Wie oft eilte das gute Mädchen mit Sonnenaufgang aus dem Hause, in dem sie sonst alle ihre Glückseligkeit gefunden hatte, ins Freie hinaus, in die Gegend, die sie sonst nicht ansprach. Auch ";5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
"e und abermals untereinander, offenbaren würden, die uns gegenwärtig verborgen seien.
 Er hatte seinen Apparat von goldenen Ringen, Markasiten und anderen metallischen Substanzen, den er in einem schönen Kästchen immer bei sich führte, schon ausgebreitet un";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e und er anfing ihre Abwesenheit schon peinlich zu empfinden. Hierzu kam noch, daß sie gesprächiger und offener schien sobald sie sich allein trafen.
Eduard hatte bei zunehmenden Jahren immer etwas Kindliches behalten, das der Jugend Ottilies besonders zusagte. Sie erinnerten sich gern früherer Zeiten, wo sie einander gesehen; es stiegen diese Erinnerungen bis in die ersten Epochen der Neigung Eduards zu Charlotte. Ottilie wollte sich der beiden noch als des schönsten Hofpaares erinnern; und wenn Eduard ihr ein solches Gedächtnis  
aus ganz früher Jugend absprach, so behauptete sie doch besonders einen Fall noch vollkommen gegenwärtig zu haben, wie sie sich einmal, bei seinem Hereintreten, in Charlottes Schoß versteckt, nicht aus Furch";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e und sodann durch die Phantasie eines geist- und geschmackreichen Erzählers  
durchgehen. Es bleibt zuletzt meist alles und nichts wie es war.
Ottilie folgte Charlotte, wie es die beiden Fremden selbst verlangten, und nun kam der Lord an die Reihe zu bemerken, daß vielleicht abermals ein Fehler begangen, etwas dem Hause Bekanntes oder gar Verwandtes erzählt worden. Wir müssen uns hüten, fuhr er fort, daß wir nicht noch mehr Übles stiften. Für das viele Gute und Angenehme, das wir hier genossen, scheinen wir den Bewohnerinnen wenig Glück zu bringen; wir wollen uns auf eine schickliche Weise zu empfehlen suchen.
Ich muß gestehen, versetzte der Begleiter, daß mich hier noch etwas anderes festhält, ohne dessen Aufklärung und nähere Kenntnis ich dieses Haus nicht gern verlassen möchte. Sie waren gestern, Mylord, als wir mit der tragbaren dunklen Kammer durch den  
Park zogen, viel zu beschäftigt, sich einen wahrhaft malerischen Standpunkt auszuwählen, als daß sie hätten bemerken sollen was nebenher vorging. Sie lenkten vom Hauptwege ab, um zu einem wenig besuchten Platze am See zu gelangen, der Ihnen ein reizendes Gegenüber anbot. Ottilie die uns begleitete, stand an zu folgen, und bat, sich auf dem Kahne dorthin begeben zu dürfen. Ich setzte mich mit ihr ein und hatte meine Freude an der Gewandtheit der schönen Schifferin. Ich versicherte ihr, daß ich seit der Schweiz, wo auch die reizendsten Mädchen die Stelle des Fuhrmanns vertreten, nicht so angenehm sei über die Wellen geschaukelt worden; konnte mich aber nicht enthalten sie zu fragen, warum sie eigentlich abgelehnt jenen Seitenweg zu machen: denn wirklich war in ihrem Ausweichen eine Art von ängstlicher Verlegenheit. Wenn Sie mich nicht auslachen wollen, versetzte sie freundlich; so kann ich Ihnen darüber wohl einige Auskunft
 
 geben, obgleich selbst für mich dabei ein Geheimnis obwaltet. Ich habe jenen Nebenweg niemals betreten, ohne daß mich ein ganz eigener Schau";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
"e zu gehen und auch auf diese Weise die Vergangenheit hervorzurufen.
Übrigens hatte Eduard mit Charlotte allein weniger Stoff zur Unterhaltung, besonders seitdem er den Tadel ihrer Parkanlagen, der ihm so gerecht schien, auf dem Herzen fühlte. Lange verschwieg er was ihm der Hauptmann vertraut hatte; aber als er seine Gattin zuletzt beschäftigt sah, von der Mooshütte hinauf zur Anhöhe wieder mit Stüfchen und Pfädchen sich empor zu arbeiten; so hielt er nicht länger zurück, sondern mach";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
e,;18;;;;;;;;;;;;18;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;
